pre_id,post_id,pre_label,post_label
1,9,8,9
1,15,8,8
1,20,8,8
1,21,8,8
1,29,8,8
1,33,8,8
1,34,8,8
1,37,8,8
1,38,8,8
1,39,8,8
1,40,8,8
1,44,8,8
1,51,8,8
1,55,8,13
1,69,8,8
1,70,8,8
2,3,9,9
2,7,9,9
2,8,9,9
2,18,9,9
2,19,9,9
2,30,9,9
2,52,9,9
2,71,9,9
3,2,9,9
3,16,9,9
3,25,9,13
3,52,9,9
4,37,8,8
5,3,9,9
5,7,9,9
5,8,9,9
5,10,9,9
5,14,9,9
5,16,9,9
5,17,9,9
5,18,9,9
5,21,9,8
5,28,9,13
5,51,9,8
5,71,9,9
6,19,9,9
7,2,9,9
7,3,9,9
7,5,9,9
7,8,9,9
7,9,9,9
7,17,9,9
7,18,9,9
7,19,9,9
7,21,9,8
7,30,9,9
7,32,9,9
7,35,9,9
7,52,9,9
8,2,9,9
8,3,9,9
8,5,9,9
8,7,9,9
8,9,9,9
8,14,9,9
8,16,9,9
8,17,9,9
8,18,9,9
8,19,9,9
8,21,9,8
8,30,9,9
8,34,9,8
8,42,9,13
8,44,9,8
8,52,9,9
8,56,9,13
8,71,9,9
9,1,9,8
9,7,9,9
9,8,9,9
9,30,9,9
10,5,9,9
10,71,9,9
11,14,9,9
11,17,9,9
11,30,9,9
11,64,9,9
11,67,9,9
11,71,9,9
12,25,13,13
12,43,13,13
12,55,13,13
12,57,13,13
13,14,9,9
13,50,9,9
14,5,9,9
14,7,9,9
14,8,9,9
14,11,9,9
14,13,9,9
14,16,9,9
14,17,9,9
14,18,9,9
14,21,9,8
14,52,9,9
14,56,9,13
14,64,9,9
14,67,9,9
14,70,9,8
15,4,8,8
15,21,8,8
15,27,8,13
15,29,8,8
15,37,8,8
15,39,8,8
15,40,8,8
16,3,9,9
16,5,9,9
16,8,9,9
16,18,9,9
16,51,9,8
16,53,9,9
16,58,9,9
17,5,9,9
17,7,9,9
17,8,9,9
17,14,9,9
17,16,9,9
17,18,9,9
17,50,9,9
17,51,9,8
17,67,9,9
18,2,9,9
18,5,9,9
18,7,9,9
18,8,9,9
18,14,9,9
18,16,9,9
18,17,9,9
18,20,9,8
18,36,9,9
18,53,9,9
18,54,9,9
18,67,9,9
19,2,9,9
19,7,9,9
19,8,9,9
20,4,8,8
20,15,8,8
20,21,8,8
20,29,8,8
20,34,8,8
20,37,8,8
20,44,8,8
20,51,8,8
20,70,8,8
21,1,8,8
21,4,8,8
21,7,8,9
21,8,8,9
21,15,8,8
21,20,8,8
21,29,8,8
21,33,8,8
21,34,8,8
21,37,8,8
21,44,8,8
21,49,8,8
21,51,8,8
21,56,8,13
21,66,8,8
21,69,8,8
21,70,8,8
22,61,13,13
23,14,9,9
24,12,13,13
24,22,13,13
24,25,13,13
24,26,13,13
24,27,13,13
24,28,13,13
24,41,13,13
24,42,13,13
24,43,13,13
24,44,13,8
24,45,13,13
24,46,13,13
24,47,13,13
24,55,13,13
24,56,13,13
24,57,13,13
24,60,13,13
24,61,13,13
24,63,13,13
24,72,13,13
25,3,13,9
25,26,13,13
25,27,13,13
25,28,13,13
25,30,13,9
25,31,13,13
25,42,13,13
25,43,13,13
25,47,13,13
25,48,13,13
25,52,13,9
25,55,13,13
25,56,13,13
25,57,13,13
25,61,13,13
25,72,13,13
26,25,13,13
26,27,13,13
26,31,13,13
26,42,13,13
26,43,13,13
26,45,13,13
26,47,13,13
26,48,13,13
26,55,13,13
26,56,13,13
26,57,13,13
26,60,13,13
26,61,13,13
27,24,13,13
27,25,13,13
27,26,13,13
27,28,13,13
27,41,13,13
27,42,13,13
27,43,13,13
27,45,13,13
27,46,13,13
27,47,13,13
27,48,13,13
27,55,13,13
27,56,13,13
27,57,13,13
27,60,13,13
27,61,13,13
27,62,13,13
27,65,13,13
28,5,13,9
28,25,13,13
28,26,13,13
28,27,13,13
28,31,13,13
28,42,13,13
28,43,13,13
28,47,13,13
28,48,13,13
28,55,13,13
28,56,13,13
28,57,13,13
28,60,13,13
28,61,13,13
28,72,13,13
29,15,8,8
29,20,8,8
29,21,8,8
29,37,8,8
29,51,8,8
29,69,8,8
29,70,8,8
30,2,9,9
30,3,9,9
30,7,9,9
30,8,9,9
30,9,9,9
30,11,9,9
30,17,9,9
30,19,9,9
30,25,9,13
30,35,9,9
30,52,9,9
30,64,9,9
31,25,13,13
31,26,13,13
31,28,13,13
31,42,13,13
31,43,13,13
31,55,13,13
32,7,9,9
32,8,9,9
33,1,8,8
33,21,8,8
33,34,8,8
33,37,8,8
33,44,8,8
34,1,8,8
34,8,8,9
34,21,8,8
34,33,8,8
34,37,8,8
34,40,8,8
34,44,8,8
34,51,8,8
34,70,8,8
35,7,9,9
35,30,9,9
35,32,9,9
37,1,8,8
37,4,8,8
37,15,8,8
37,20,8,8
37,21,8,8
37,29,8,8
37,33,8,8
37,34,8,8
37,38,8,8
37,39,8,8
37,40,8,8
37,44,8,8
37,49,8,8
37,51,8,8
37,69,8,8
37,70,8,8
38,37,8,8
38,39,8,8
39,37,8,8
40,33,8,8
40,34,8,8
40,37,8,8
40,44,8,8
41,24,13,13
41,42,13,13
